tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
25796,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,800X The Embarcadero,10,Median : Cutout,Port,8/30/1996,36,10,37.80156586,-122.3998031
50298,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2909 24th Ave,2,Sidewalk: Curb side : Cutout,Private,1/28/2004,6,,37.73412522,-122.4802927
51955,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1019 Portola Dr,1,Sidewalk: Curb side : Cutout,Private,8/8/2005,,,37.7415255,-122.4562771
62279,Permitted Site,Maytenus boaria :: Mayten,402 Haight St,1,Sidewalk: Curb side : Cutout,Private,10/9/1985,,,37.77237613,-122.4288966
103791,Permitted Site,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1214 Polk St,1,Sidewalk: Curb side : Cutout,Private,11/1/2009,3,3x3,37.78802691,-122.4200117
62910,Permitted Site,Prunus serrulata :: Ornamental Cherry,417 Cortland Ave,1,Sidewalk: Curb side : Cutout,Private,8/5/1986,,,37.73922666,-122.4174815
86117,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2478 24th Ave,1,Sidewalk: Curb side : Cutout,DPW,1/17/2007,3,3x3,37.74139977,-122.4808686
46894,Permitted Site,Magnolia grandiflora :: Southern Magnolia,1445 11th Ave,1,Sidewalk: Curb side : Cutout,Private,3/11/2006,,,37.76123478,-122.4683519
94098,DPW Maintained,Lagunaria patersonii :: Primrose Tree,7 Colby St,1,Sidewalk: Curb side : Cutout,Private,6/3/2010,4,,37.73070174,-122.4149108
41624,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2285 Jerrold Ave,3,Sidewalk: Curb side : Cutout,Private,9/28/2002,5,,37.74598685,-122.4022771
32722,Permitted Site,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,644 Hyde St,3,Sidewalk: Curb side : Cutout,Private,11/30/2011,3,3x3,37.78719696,-122.4164491
42728,DPW Maintained,Pittosporum undulatum :: Victorian Box,1790 Yosemite Ave,5,Sidewalk: Curb side : Cutout,Private,6/26/2000,9,,37.72882844,-122.3949779
65181,DPW Maintained,Brugmansia spp :: Angel trumpet,1354 Green St,1,Sidewalk: Curb side : Cutout,Private,12/29/1993,10,,37.79798583,-122.4214151
42181,DPW Maintained,Acer rubrum :: Red Maple,649 Bryant St,1,Sidewalk: Curb side : Cutout,Private,6/21/2000,4,,37.77836512,-122.3994241
50780,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2257 Filbert St,1,Sidewalk: Curb side : Cutout,Private,2/25/2004,3,3x3,37.79784321,-122.4366207
24828,Permitted Site,Casurina stricta :: Beefwood: Drooping She-Oak,200X Alemany Blvd,6,Sidewalk: Curb side : Cutout,Dept of Real Estate,1/12/1996,18,3X3,37.73549043,-122.4098748
64793,Permitted Site,Lophostemon confertus :: Brisbane Box,124 Scott St,1,Sidewalk: Curb side : Cutout,Private,1/11/1989,,,37.77080177,-122.4351444
60888,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,874 Filbert St,1,Sidewalk: Curb side : Cutout,Private,6/11/1983,,,37.80088254,-122.4138893
32421,DPW Maintained,Ceratonia siliqua :: Carob,400 Sussex St,1,Sidewalk: Curb side : Cutout,Private,10/8/1996,12,,37.73722129,-122.4393181
90390,Permitted Site,Pyrus kawakamii :: Evergreen Pear,68 12th St,2,Sidewalk: Curb side : Cutout,Private,2/21/2008,3,3x3,37.77344157,-122.4192169
30988,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2027 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,3/13/1995,7,,37.79396795,-122.4293638
